cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
TNBC94 extension	45	cd8_cytotoxic	1581	396	0.037162349444412435	0.004151050900723152	0.03301129854368928	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	45	tcell_exhaustion	1581	396	0.02801057569189158	0.0024784017543358905	0.02553217393755569	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	45	tcell_ifng_response	1581	396	0.13786120309899985	0.010329138491992795	0.12753206460700706	0.0004997501249375312	0.0006663334999167083
TNBC94 extension	45	tcell_progenitor	1581	396	0.011224106862056993	0.004803044473928819	0.006421062388128174	0.5107446276861569	0.5107446276861569
TNBC94 extension	46	cd8_cytotoxic	766	192	0.0012169184415350247	0.0020692601715907233	-0.0008523417300556986	0.7626186906546727	0.9555222388805598
TNBC94 extension	46	tcell_exhaustion	766	192	0.005117068721505226	0.00125825529600394	0.003858813425501286	0.31084457771114443	0.9555222388805598
TNBC94 extension	46	tcell_ifng_response	766	192	0.0024753239332394733	0.0028189305500589262	-0.0003436066168194529	0.9555222388805598	0.9555222388805598
TNBC94 extension	46	tcell_progenitor	766	192	0.0012854911516920614	0.005544632995769041	-0.0042591418440769795	0.5482258870564718	0.9555222388805598
TNBC94 extension	47	cd8_cytotoxic	1113	279	0.0028373953139215827	0.0004429494387427971	0.0023944458751787856	0.4587706146926537	0.6483424954189572
TNBC94 extension	47	tcell_exhaustion	1113	279	0.008331381986775743	0.0008935994819114293	0.007437782504864314	0.01999000499750125	0.079960019990005
TNBC94 extension	47	tcell_ifng_response	1113	279	0.002123639514072323	-0.00011166573401787117	0.002235305248090194	0.6831584207896052	0.6831584207896052
TNBC94 extension	47	tcell_progenitor	1113	279	0.004220573686076555	0.001226991131939796	0.002993582554136759	0.4862568715642179	0.6483424954189572
TNBC94 extension	48	cd8_cytotoxic	656	164	0.011044933293585309	0.0036309327674369438	0.007414000526148365	0.01699150424787606	0.01699150424787606
